LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.400, Time: 5.920262 s
         1506050 function calls (1488991 primitive calls) in 16.236 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.047    0.023 __init__.py:12(__getattr__)
      349    0.008    0.000    0.046    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.046    0.046 case.py:1(<module>)
       63    0.024    0.000    0.045    0.001 {built-in method builtins.eval}
     7352    0.017    0.000    0.045    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.044    0.044 fromnumeric.py:1(<module>)
     9213    0.044    0.000    0.044    0.000 {method 'split' of 'str' objects}
      479    0.024    0.000    0.043    0.000 enum.py:254(__set_name__)
      100    0.004    0.000    0.042    0.000 pyplot.py:208(_add_pyplot_note)
        1    0.000    0.000    0.042    0.042 axis3d.py:1(<module>)
        2    0.000    0.000    0.042    0.021 version.py:1(<module>)
        1    0.000    0.000    0.041    0.041 cbook.py:1(<module>)
      602    0.013    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.040    0.040 _methods.py:1(<module>)
        1    0.000    0.000    0.040    0.040 mathtext.py:1(<module>)
        1    0.000    0.000    0.040    0.040 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.040    0.040 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.039    0.039 tokenize.py:453(open)
        1    0.000    0.000    0.038    0.038 ImagePalette.py:1(<module>)
       44    0.015    0.000    0.038    0.001 __init__.py:355(namedtuple)
        1    0.000    0.000    0.038    0.038 tokenize.py:360(detect_encoding)
        2    0.000    0.000    0.038    0.019 tokenize.py:384(read_or_stop)
        2    0.038    0.019    0.038    0.019 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.037    0.037 _secondary_axes.py:1(<module>)
      457    0.010    0.000    0.036    0.000 typing.py:175(_type_check)
        8    0.000    0.000    0.035    0.004 core.py:6454(__init__)
        1    0.000    0.000    0.035    0.035 transforms.py:1(<module>)
        1    0.000    0.000    0.035    0.035 table.py:1(<module>)
    85/30    0.001    0.000    0.035    0.001 typing.py:1326(_determine_new_args)
     28/7    0.001    0.000    0.035    0.005 core.py:5163(leave_whitespace)
       64    0.001    0.000    0.034    0.001 core.py:1610(__add__)
     3209    0.020    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.001    0.001    0.034    0.034 legend.py:1(<module>)
    85/30    0.006    0.000    0.034    0.001 typing.py:1355(_make_substitution)
        1    0.000    0.000    0.034    0.034 pickle.py:1(<module>)
    37820    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
       21    0.004    0.000    0.033    0.002 typing.py:2814(__new__)
        1    0.015    0.015    0.032    0.032 getlimits.py:168(_register_known_types)
       46    0.000    0.000    0.032    0.001 core.py:3532(mayReturnEmpty)
    48/27    0.001    0.000    0.032    0.001 functools.py:982(__get__)
        1    0.000    0.000    0.032    0.032 _mathtext.py:1(<module>)
       65    0.003    0.000    0.032    0.000 core.py:4495(__init__)
      645    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap>:632(cached)
    42/21    0.000    0.000    0.032    0.002 core.py:3500(re)
        1    0.000    0.000    0.031    0.031 plistlib.py:1(<module>)
        1    0.000    0.000    0.031    0.031 format.py:1(<module>)
       12    0.000    0.000    0.031    0.003 core.py:1274(parse_string)
       64    0.006    0.000    0.031    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.031    0.031 _char_codes.py:1(<module>)
       50    0.001    0.000    0.031    0.001 typing.py:521(__getitem__)
       34    0.030    0.001    0.030    0.001 {built-in method _io.open}
        1    0.000    0.000    0.030    0.030 parse.py:1(<module>)
      265    0.005    0.000    0.030    0.000 overrides.py:144(decorator)
      344    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
     59/7    0.003    0.000    0.029    0.004 core.py:4325(leave_whitespace)
      445    0.004    0.000    0.029    0.000 core.py:575(copy)
      113    0.003    0.000    0.029    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.028    0.028 _internal.py:1(<module>)
       13    0.000    0.000    0.028    0.002 rcsetup.py:426(validate_font_properties)
        1    0.000    0.000    0.028    0.028 main.py:1(<module>)
       10    0.000    0.000    0.028    0.003 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
     2703    0.009    0.000    0.028    0.000 cbook.py:468(_strip_comment)
        3    0.001    0.000    0.028    0.009 exceptions.py:1(<module>)
       21    0.001    0.000    0.028    0.001 typing.py:2795(_make_nmtuple)
        1    0.000    0.000    0.027    0.027 bz2.py:1(<module>)
      279    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.025    0.025    0.027    0.027 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.026    0.026 difflib.py:1(<module>)
      698    0.016    0.000    0.026    0.000 functools.py:35(update_wrapper)
      583    0.012    0.000    0.026    0.000 enum.py:390(__setitem__)
      642    0.006    0.000    0.026    0.000 <frozen importlib._bootstrap>:162(__enter__)
       50    0.004    0.000    0.026    0.001 typing.py:753(Literal)
   129/61    0.003    0.000    0.026    0.000 core.py:4422(copy)
   306/12    0.008    0.000    0.025    0.002 core.py:916(_parseNoCache)
       64    0.004    0.000    0.025    0.000 util.py:450(replaced_by_pep8)
        1    0.000    0.000    0.025    0.025 _polynomial_impl.py:1(<module>)
      445    0.008    0.000    0.025    0.000 copy.py:61(copy)
    72/12    0.001    0.000    0.025    0.002 core.py:4605(parseImpl)
        7    0.002    0.000    0.025    0.004 core.py:3167(__init__)
      600    0.014    0.000    0.024    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.024    0.024 _format_impl.py:1(<module>)
      208    0.015    0.000    0.023    0.000 _compiler.py:243(_optimize_charset)
      261    0.001    0.000    0.023    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      435    0.001    0.000    0.023    0.000 {built-in method builtins.next}
      224    0.008    0.000    0.023    0.000 _compiler.py:516(_compile_info)
      146    0.001    0.000    0.023    0.000 {built-in method builtins.all}
     7567    0.022    0.000    0.022    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.022    0.022 colorbar.py:1(<module>)
       62    0.001    0.000    0.022    0.000 __init__.py:869(_open_file_or_url)
        1    0.000    0.000    0.022    0.022 layout_engine.py:1(<module>)
      141    0.001    0.000    0.022    0.000 core.py:4523(<genexpr>)
       30    0.000    0.000    0.021    0.001 typing.py:1589(copy_with)
        1    0.000    0.000    0.021    0.021 spines.py:1(<module>)
       33    0.000    0.000    0.021    0.001 contextlib.py:132(__enter__)
        3    0.000    0.000    0.021    0.007 _common.py:1(<module>)
        1    0.000    0.000    0.021    0.021 einsumfunc.py:1(<module>)
        1    0.001    0.001    0.021    0.021 numerictypes.py:1(<module>)
        1    0.000    0.000    0.021    0.021 dates.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _tricontour.py:1(<module>)
